start,end,count,reverse
Santa Clara at Almaden,Santa Clara at Almaden,34,34
"SF Caltrain, Townsend at 4th ",Howard at Beale,644,530
Howard at Beale,Powell Street BART,121,98
2nd at Folsom,5th at Howard,93,63
Commercial at Montgomery,Howard at Beale,142,191
2nd at South Park,Embarcadero at Bryant,26,23
St James Park,MLK Library,13,18
Market at 4th,Post at Kearney,37,45
2nd at Folsom,Broadway St at Battery St,9,1
Embarcadero at Bryant,Commercial at Montgomery,113,163
Beale at Market,Howard at 2nd,61,39
"SF Caltrain, Townsend at 4th ",Market at 10th,156,401
SJSU - San Salvador at 9th,St James Park,9,0
Howard at 2nd,Washington at Kearney,25,33
Steuart at Market,7th at Market,59,77
San Jose Government Center,SJSU - San Salvador at 9th,2,0
Market at 4th,5th at Howard,64,85
Howard at 2nd,Spear at Folsom,64,82
Broadway at Main,Broadway at Main,13,13
Davis at Jackson,Clay at Battery,29,42
Spear at Folsom,Steuart at Market,130,227
San Antonio Caltrain Station,Cowper at University,2,4
San Pedro Square,SJ Diridon Caltrain,229,300
SF Ferry Building,Market at Battery,161,154
SJSU - San Salvador at 9th,Japantown,11,0
Park at Olive,Park at Olive,31,31
Redwood City Public Library,Redwood City Medical Center,2,6
San Pedro Square,Santa Clara at Almaden,19,20
SJ Diridon Caltrain,St James Park,124,141
Golden Gate at Polk,Powell at Post (Union Square),32,53
2nd at South Park,Steuart at Market,117,143
SF Ferry Building,2nd at Folsom,98,179
Mountain View City Hall,Rengstorff at California,33,40
Market at Battery,Washington at Kearney,71,40
Howard at 2nd,"SF Caltrain, Townsend at 4th ",443,427
Market at Sansome,Embarcadero at Bryant,78,75
Market at 10th,Howard at 2nd,52,49
3rd at Howard,5th at Howard,99,37
SF Caltrain at 330 Townsend,Powell at Post (Union Square),46,75
Powell at Post (Union Square),Spear at Folsom,40,42
Powell Street BART,Townsend at 7th,183,188
Townsend at 7th,South Van Ness at Market,118,99
Embarcadero at Bryant,Market at Battery,128,90
Embarcadero at Vallejo,Howard at 2nd,37,50
Redwood City Public Library,Castro Street and El Camino Real,1,0
South Van Ness at Market,Market at Battery,93,84
Golden Gate at Polk,Market at 10th,50,34
San Jose Civic Center,MLK Library,23,21
Market at 4th,Spear at Folsom,151,105
Palo Alto Caltrain Station,Park at Olive,69,43
Market at Battery,South Van Ness at Market,84,93
Powell at Post (Union Square),Powell at Post (Union Square),203,203
Howard at Beale,Embarcadero at Sansome,238,287
Howard at Beale,Beale at Market,81,188
Broadway St at Battery St,Powell at Post (Union Square),7,12
Market at Battery,Townsend at 7th,33,15
SJSU - San Salvador at 9th,MLK Library,56,0
Embarcadero at Sansome,Market at 10th,37,36
Post at Kearney,Howard at 2nd,66,60
Clay at Battery,Embarcadero at Vallejo,43,32
Washington at Kearney,"SF Caltrain, Townsend at 4th ",41,29
Beale at Market,2nd at Folsom,31,48
Market at Battery,2nd at Townsend,67,99
Townsend at 7th,Washington at Kearney,17,18
